appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,release_year,total_ratings,rating_ratio,owners_mean,genres_text,categories_text,platforms_text,tags_text_clean,developer_encoded
10,Counter-Strike,2000-11-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0,124534,3339,17612,317,10000000-20000000,7.19,2000,127873,0.9738805386552387,15000000.0,action,multi-player online multi-player local multi-player valve anti-cheat enabled,windows mac linux,fps multiplayer,15118
20,Team Fortress Classic,1999-04-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0,3318,633,277,62,5000000-10000000,3.99,1999,3951,0.8395748987854251,7500000.0,action,multi-player online multi-player local multi-player valve anti-cheat enabled,windows mac linux,fps multiplayer,15118
30,Day of Defeat,2003-05-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer,0,3416,398,187,34,5000000-10000000,3.99,2003,3814,0.8954128440366973,7500000.0,action,multi-player valve anti-cheat enabled,windows mac linux,fps world war ii multiplayer,15118
40,Deathmatch Classic,2001-06-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0,1273,267,258,184,5000000-10000000,3.99,2001,1540,0.8260869565217391,7500000.0,action,multi-player online multi-player local multi-player valve anti-cheat enabled,windows mac linux,fps multiplayer,15118
50,Half-Life: Opposing Force,1999-11-01,1,Gearbox Software,Valve,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi,0,5250,288,624,415,5000000-10000000,3.99,1999,5538,0.9478245170608413,7500000.0,action,single-player multi-player valve anti-cheat enabled,windows mac linux,fps sci-fi,5659
60,Ricochet,2000-11-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0,2758,684,175,10,5000000-10000000,3.99,2000,3442,0.8010455997676444,7500000.0,action,multi-player online multi-player valve anti-cheat enabled,windows mac linux,fps multiplayer,15118
70,Half-Life,1998-11-08,1,Valve,Valve,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action,0,27755,1100,1300,83,5000000-10000000,7.19,1998,28855,0.9618450235652897,7500000.0,action,single-player multi-player online multi-player steam cloud valve anti-cheat enabled,windows mac linux,fps classic,15118
80,Counter-Strike: Condition Zero,2004-03-01,1,Valve,Valve,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0,12120,1439,427,43,10000000-20000000,7.19,2004,13559,0.8938053097345132,15000000.0,action,single-player multi-player valve anti-cheat enabled,windows mac linux,fps multiplayer,15118
130,Half-Life: Blue Shift,2001-06-01,1,Gearbox Software,Valve,windows;mac;linux,0,Single-player,Action,FPS;Action;Sci-fi,0,3822,420,361,205,5000000-10000000,3.99,2001,4242,0.9007777515908555,7500000.0,action,single-player,windows mac linux,fps sci-fi,5659
220,Half-Life 2,2004-11-16,1,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,33,67902,2419,691,402,10000000-20000000,7.19,2004,70321,0.9655868718182077,15000000.0,action,single-player steam achievements steam trading cards captions available partial controller support steam cloud includes source sdk,windows mac linux,fps sci-fi,15118
